Word,definition,mean_valence,mean_arousal,mean_conc,mean_humor
bao toh,(verb) The act of backstabbing someone. Origin: Hokkien.,3.72916666666667,6.02173913043478,2.63888888888889,3
barang barang,(noun) Personal belongings. Origin: Malay.,5.52325581395349,4.47368421052632,3.96610169491525,2.84745762711864
belanja,(verb) To treat or pay for someone. Origin: Malay.,6.50724637681159,5.50793650793651,3,2.61224489795918
berak,(verb/noun) 1. To defecate. 2. Faeces; poop. Origin: Malay.,4.13888888888889,5.3,3.95833333333333,3.1
bo beh zao,(adjective) Used to describe something of unrivaled excellence; the very best. Derived from horse racing jargon. Origin: Hokkien; Teochew.,4.88888888888889,6.21621621621622,2.24,3.125
bo chap,(verb/adjective) 1. To not care or disregard something. 2. Indifferent; unbothered. Origin: Hokkien.,4.37349397590361,4.37662337662338,2.78688524590164,3.12903225806452
bo eng,(adjective) To have little or no time on one's hands; busy. Origin: Hokkien.,4.25,5.11666666666667,2.57894736842105,2.66666666666667
bo geh,(adjective/noun) Used to describe someone with a missing tooth. Origin: Hokkien.,4.37179487179487,5.14705882352941,4,3.84905660377358
bo jio,(verb/interjection) 1. To not invite somebody to a social event or activity. 2. Expression of grievance at being left out of a social event. Origin: Hokkien.,4.39080459770115,6.03658536585366,2.74603174603175,3
bo liao,(adjective) Describes idleness; bored; tedious. Origin: Hokkien.,4.80898876404494,5.0875,2.45161290322581,3.06451612903226
bo pian,(expression) There is nothing that can be done; no choice. Origin: Hokkien; Teochew.,4.48863636363636,4.8625,2.33870967741935,3.14516129032258
bo ta bo lan pa,"(expression) Used in drinking culture to mean ""bottoms up."" Origin: Hokkien.",4.76,7.11627906976744,2.31428571428571,3.75609756097561
bo tao boh peh,(expression) A story or statement that lacks coherence or connection; incomprehensible; hard to understand or follow. Origin: Hokkien.,4.66666666666667,5.75757575757576,2.30434782608696,3.04166666666667
bo zheng hu,"(adjective) Describes a situation with no governance or authority, implying disorder or anarchy. Origin: Hokkien.",5.23076923076923,5.35135135135135,2.53125,3.38235294117647
bodoh,(adjective) Used to describe someone as an idiot or ignorant. Origin: Malay.,4.04444444444444,6.21951219512195,2.95238095238095,3.51612903225806
boleh,(verb) 1. Can; to be able to. 2. May; to be permitted to. Origin: Malay.,6.61627906976744,4.93670886075949,2.41666666666667,2.87096774193548
botak,(adjective) Bald; balding. Origin: Malay.,4.67777777777778,4.82926829268293,4.50793650793651,3.75806451612903
buay,(verb) Cannot; unable to. Origin: Hokkien.,4.74647887323944,4.89041095890411,2.09615384615385,2.53448275862069
buay gan,(adjective) Useless; incompetent. Origin: Hokkien.,3.76315789473684,5.48837209302326,2.72413793103448,2.68965517241379
buay pai,(adjective) Not bad; acceptable; decent. Origin: Hokkien.,6.12068965517241,5.34545454545455,2.44444444444444,2.97777777777778
buay song,"(adjective) To be unhappy, uncomfortable, or angry about something. Origin: Hokkien.",3.49350649350649,6.08450704225352,2.85964912280702,2.96428571428571
buay steady,(adjective) Used to describe someone whose conduct spoils the pleasure of others; a spoilsport. Origin: Hokkien; English.,4.40963855421687,5.05,2.38333333333333,3.0655737704918
buay tahan,(verb) Unable to withstand or endure; intolerable. Origin: Hokkien; Malay.,4.01111111111111,5.57317073170732,2.59677419354839,3.33333333333333
buaya,(noun) Refers to a womanizer or flirt. Origin: Malay.,4.12903225806452,5.39285714285714,2.72222222222222,2.2
catch no ball,(verb) Unable to understand something that someone says; to not grasp or comprehend. Origin: Hokkien.,4.50684931506849,5.22950819672131,2.37037037037037,3.35185185185185
cert,"(noun) Abbreviation of ""certificate."" Origin: English.",5.92647058823529,4.21666666666667,4.08163265306122,2.07692307692308
chao,(adjective) 1. Used to refer to foul smells. 2. Bad; detestable; undesirable. Origin: Hokkien; Teochew.,4.59259259259259,6.54285714285714,2.56363636363636,3.26315789473684
chao geng,(verb) Feigning sickness or injury or shrinking responsibility by giving excuses. Origin: Hokkien.,4.30379746835443,6.37333333333333,3.15254237288136,3.23333333333333
chao mugger,(noun) A person who frequently crams for tests due to fear of failure. Origin: Hokkien; English.,3.86046511627907,6.36986301369863,3.26229508196721,3.45
chap lau chu,(noun) One of the original ten-storey HDB flats built by the Housing and Development Board in the 1960s.,5.44444444444444,5.45,2.83333333333333,2.76923076923077
chee bai,"(noun) A vulgar term used to refer to the female genitalia, often used as a swear word in various contexts. Origin: Hokkien.",3.58888888888889,7.01234567901235,2.40983606557377,3.59677419354839
chee ko pek / ti ko pek,(noun) A slang term used to describe a pervert or a lecher. Origin: Hokkien.,2.32926829268293,6.64383561643836,3.79310344827586,3.5
cheem / chim,(adjective) Used to describe something or a situation that is extremely hard to understand or comprehend. Origin: Hokkien; Teochew.,4.78651685393258,5.29268292682927,2.65079365079365,2.88709677419355
chicken business,(noun) Prostitution; sex work. Origin: English; Cantonese.,4.02173913043478,4.49056603773585,2.23529411764706,3.1
chin chai,"(adjective/adverb) Used to mean ""anything"" or ""whatever,"" often when someone is indifferent or unwilling to make a decision. Can also describe doing something in a half-hearted manner. Origin: Hokkien.",5.9875,4.39473684210526,2.18181818181818,2.82758620689655
chio bu,"(noun) Originally a derogatory term meaning ""a sexually receptive woman,"" it is now commonly used to describe or compliment an attractive woman. Origin: Hokkien.",6.55555555555556,6.18518518518519,4,2.96774193548387
chiong,(verb) To rush or charge forward with urgency. Origin: Hokkien.,5.58888888888889,6.42682926829268,3.2741935483871,2.93548387096774
chiu kana kah,(expression) Used to describe a clumsy person. Origin: Hokkien.,4.38461538461539,5.36842105263158,3.38461538461538,3.4375
chop,(noun/verb) Refers to a stamp or seal. Origin: Hindi.,5.67469879518072,5.11842105263158,3.41379310344828,3.05660377358491
chop chop,(interjection) Used to tell someone to do something quickly. Origin: English.,5.24719101123596,5.7125,2.54838709677419,3.03225806451613
chope,"(verb) Slang for reserving a seat, often by placing an object like a tissue packet. Origin: Malay; Hindi.",6.26966292134831,4.97560975609756,3.98412698412698,2.5
cmi,"(verb/adjective) Acronym for ""Can't make it,"" used to describe someone or something as incompetent or failing. Origin: English.",4.54444444444444,5.42682926829268,2.46031746031746,3.09836065573771
cockanaathan,(noun) An extreme term for someone who is useless or stupid; a moron. Origin: Tamil; English.,3.9,5.59259259259259,1.92307692307692,3.17391304347826
corright,"(adjective/interjection) A blend of ""correct"" and ""right,"" used to confirm accuracy. Origin: English.",5.50746268656716,5.13235294117647,2.48,3.35849056603774
da bao,(verb/adjective/noun) 1. To take away; to order to go. 2. Packed for take away. 3. Food or an order of food that is packed to go. Origin: Cantonese.,6.94444444444444,4.19753086419753,4.16129032258065,2
damn,"(adverb) Used to intensify a statement, meaning ""very."" Origin: English.",6.14444444444444,5.39024390243902,1.95238095238095,2.95161290322581
dey,"(interjection) Used to call someone in a friendly, informal way, similar to ""Hey!"" Used only towards friends or someone of the same age. Origin: Tamil.",5.18571428571429,5.19672131147541,1.92592592592593,3.32692307692308
diam,"(verb/interjection/adverb) 1. ""To be quiet"" or ""shut up."" Used to tell someone to stop talking or to remain silent. 2. In a military setting, it means to freeze where one is and not move until given a command to be at ease. Origin: Malay; Min Nan.",3.72941176470588,6.25925925925926,3.11475409836066,3.24590163934426
don't play play,"(expression) A warning to someone to be serious or not to joke around. Popularized by Gurmit Singh’s character, Phua Chu Kang, from the TV sitcom of the same name.",5.07777777777778,5.65853658536585,2.12698412698413,3.33870967741935
double confirm,"(adverb/verb) To confirm and reconfirm, emphasizing the certainty or seriousness of the confirmation. Origin: English.",6.34444444444444,4.81707317073171,2.50793650793651,2.96774193548387
du lan,(adjective) 1. A swear term used to express being extremely pissed off. 2. Annoying; difficult; unaccommodating. Origin: Hokkien.,3.21917808219178,6.44444444444444,2.76,3.20754716981132
dunnid,"(verb) A corruption of ""don't need,"" used informally to indicate that something is unnecessary. Origin: English.",5.54444444444444,4.15853658536585,2.71428571428571,2.61290322580645
echerley,"(adverb) A corruption of ""actually,"" used informally in speech. Origin: English.",4.82758620689655,4.81132075471698,2.07142857142857,3.34090909090909
eeyer,(interjection) Used to express disgust or distaste. Origin: Cantonese.,4.15294117647059,5.76923076923077,2.22950819672131,3.41935483870968
encik,"(noun) A term used to address a male, equivalent to ""Mister"". In a military context, it refers to a male warrant officer. Origin: Malay.",4.52272727272727,5.15189873417722,4.13333333333333,2.56451612903226
eye power,(noun/verb) 1. A sarcastic term used to describe someone who does not contribute in group work and merely watches on. This term is often associated with military officers. 2. To stand by idly watching a task instead of helping. Origin: English.,5.18181818181818,5.55555555555556,3.23809523809524,3.53225806451613
gabra,(adjective) 1. Used to describe someone who is confused or disorganized. 2. A chaotic; disorderly situation. Origin: Malay.,4.13793103448276,5.65384615384615,2.75,2.66666666666667
gahmen,"(noun) Mispronunciation of the word ""government""; often used to criticize the government, particularly in written form, to avoid potential legal action. Origin: English.",4.69333333333333,5.52238805970149,4.07017543859649,3.45762711864407
garang,(adjective) Used to describe someone as courageous or enthusiastic; fiercely competitive. Origin: Malay.,5.59722222222222,5.31884057971014,3.06666666666667,2.68627450980392
geh geh,(adjective) Describes someone who is playing dumb; to feign ignorance. Origin: Hokkien.,4.76785714285714,5.40384615384615,2.6,3.0952380952381
geh kiang,(adjective) Used to describe someone who makes rash decisions without thinking or someone who pretends to know what they are doing. Origin: Hokkien.,3.79487179487179,6.30666666666667,2.57407407407407,3.31578947368421
get,(adjective) Very cheeky; mischievous. Origin: Hokkien.,5.85365853658537,4.33823529411765,2.52941176470588,3.025
gone-case,(noun) Refers to someone or something that is doomed or beyond help. Origin: English.,3.75555555555556,5.9390243902439,2.50793650793651,3.30645161290323
goondu,(noun) A term used to describe an idiot or fool. Origin: Tamil.,4.09523809523809,6.05333333333333,2.91935483870968,3.57627118644068
gostan,(verb) To reverse or go in the backward direction. Origin: English.,5.32432432432432,5.0625,3.85185185185185,3.16981132075472
guai lan,(adjective) Used to describe someone who is hard to please or get along with; being difficult; annoying. Origin: Hokkien.,3.62162162162162,6.47692307692308,2.56603773584906,3.10909090909091
handphone,(noun) Mobile phone or smartphone. Origin: English.,6.35227272727273,4.01219512195122,4.64516129032258,1.55737704918033
hao lian,"(adjective/verb) A term used to describe someone who loves to boast or show off, often in a narcissistic manner. Origin: Teochew.",3.14457831325301,5.87012987012987,2.86206896551724,2.68421052631579
helication,"(noun) A corruption of the word ""education."" Origin: English.",3.77777777777778,3.91666666666667,2.5,2.375
heng,(adjective/interjection) To be lucky or fortunate. Origin: Hokkien.,7.48863636363636,4.95121951219512,2.33333333333333,3.17741935483871
ho liao,(verb) Done or finished. Origin: Hokkien.,6.2741935483871,5.52307692307692,2.55102040816327,3.04166666666667
ho seh,"(adjective/interjection) Good; well. Often used as an interjection to express approval, satisfaction, or affirmation. Origin: Hokkien.",5.9125,6.09859154929577,2.11111111111111,3.07407407407407
hong gan,"(interjection/verb) Used to express extreme anger or disappointment, typically meaning ""we are screwed"" or ""we're in trouble."" Origin: Hokkien.",4.42592592592593,6.82692307692308,2.43589743589744,3.35
horlan,"(noun/verb) A term used to describe finding oneself in a far-off or unexpected place, often with an unpleasant outcome. It can also refer to being physically lost, especially in a military context. Origin: English.",4.52380952380952,5.84615384615385,2.5,3.63333333333333
huat,"(verb) To prosper or flourish. Commonly used in expressions like ""huat ah!"" to wish someone good luck or success, particularly in business or personal endeavors. Origin: Hokkien.",8,6.98780487804878,2.46666666666667,3.20967741935484
hum ji,(adjective) A term used to describe cowardly behavior; scared; lacking courage. Origin: Hokkien.,3.88372093023256,5.93478260869565,2.62068965517241,3
ini macam,"(adverb) A Malay phrase meaning ""like this"" or ""that's how."" It is often used to describe a situation or explain something in a casual manner. Origin: Malay.",5.54545454545455,5.22,2.03030303030303,2.81081081081081
jelak,"(adjective) A term used to describe the feeling of being overly satiated by food to the point of repulsion, particularly when the food is too rich or heavy. Origin: Malay.",4.04109589041096,5.33783783783784,2.9811320754717,2.45098039215686
jia lat,(adjective) A term used to describe being in trouble or a terrible situation. Origin: Hokkien.,4.21111111111111,6.28048780487805,2.37096774193548,3.40322580645161
jiak,"(verb) A term meaning ""to eat."" Origin: Hokkien/Teochew.",6.86567164179105,5.05970149253731,3.63265306122449,2.25
jiak chao,"(verb) A term meaning ""to eat grass,"" used metaphorically to describe being broke or having no money for daily expenses. Origin: Hokkien/Teochew.",4.57894736842105,5.75862068965517,2.57894736842105,3.24137931034483
jiak kantang,"(verb/adjective) A term used to describe someone who is heavily influenced by Western culture, often at the expense of their own Asian heritage; westernized. Origin: Hokkien; Malay.",4.63157894736842,5.53191489361702,2.37142857142857,3.34782608695652
jiak zua,"(verb) A term used to describe someone who slacks off or avoids work, especially while on duty or during responsibilities. Origin: Hokkien/Teochew.",4.34615384615385,5.5,2.75,3.31578947368421
jio,(verb) To invite someone to join an activity or go out. Origin: Hokkien.,6.95555555555556,5.6875,2.9672131147541,2.48387096774194
kae ang moh,(adjective) Describes someone who tries to act like a Westerner. Origin: Hokkien.,4.1875,5.72881355932203,3.22448979591837,3
kampung,(noun) A village; figuratively used to refer to one's hometown or place of origin. Origin: Malay.,6.01123595505618,4.01219512195122,4.08064516129032,1.9344262295082
kar chng,"(noun) A term meaning ""buttocks."" Origin: Hokkien.",5.3015873015873,5.54237288135593,3.65909090909091,3.59183673469388
kar pak,(noun) Parking lot; car park. Origin: English.,5.06896551724138,4.09615384615385,3.66666666666667,2.84090909090909
kaypoh,(noun/adjective) A busybody; someone who is overly inquisitive or meddles in others' affairs. Origin: Hokkien.,5.03333333333333,5.80246913580247,2.93650793650794,3.32258064516129
kayu,"(adjective) Originally used in soccer to accuse referees of being biased or blind to fouls. More generally, describes someone who is ignorant or dull. Origin: Malay.",4.51063829787234,5.52777777777778,2.8125,2.85294117647059
kee siao,(verb) To go mad or act crazily. Often used in a scolding context. Origin: Hokkien/Teochew.,3.83132530120482,6.43037974683544,2.43859649122807,3.55555555555556
keling kia,(noun) A derogatory slur historically used to refer to Tamil Indians or a person with an Indian accent. Origin: Hokkien.,3.93478260869565,5.97058823529412,3.23333333333333,2.64516129032258
kena,(verb) To be afflicted with or suffer from something. Origin: Malay.,4.24444444444444,5.41463414634146,2.47619047619048,3.2258064516129
kena sai,(verb) To get into deep trouble or a difficult situation. Origin: Malay; Hokkien.,3.87640449438202,6.67073170731707,1.73015873015873,3.62903225806452
kenz,"(verb) Shortened form of ""kena,"" meaning to be afflicted with or suffer from something. Origin: Malay.",5.28260869565217,4.57142857142857,2.34615384615385,3
ki chia,(verb) To die; refers to the loading of a coffin or casket into a hearse. Origin: Hokkien.,4.6,5.22727272727273,2.55555555555556,3.125
kiam,(adjective) 1. Salty. 2. Used to describe a stingy or frugal person. Origin: Hokkien.,4.43589743589744,5.24390243902439,2.76,2.66666666666667
kiam pa,(verb) Used to say that the appearance or actions of an individual evoke a desire to physically hit them. Origin: Hokkien.,4.10869565217391,6.06818181818182,2.71875,3.66666666666667
kiasi,"(adjective) Used to describe someone who is overly fearful or anxious, particularly about potential negative outcomes; afraid of death. Origin: Hokkien.",4.21951219512195,5.64935064935065,2.38983050847458,3.12068965517241
kiasu,"(adjective) Used to describe someone who is overly competitive or afraid of losing, often going to extremes to avoid failure or to gain an advantage. Origin: Hokkien/Teochew.",4.3,5.53658536585366,2.68253968253968,2.74193548387097
kilat,(adjective) Used to describe something or someone as excellent or outstanding. Commonly used in the military. Origin: Malay.,5.19354838709677,5.37037037037037,2.94736842105263,2.33333333333333
kong ka kiao,"(verb) Used to refer to dying, often in a dramatic or exaggerated context. Origin: Hokkien/Teochew.",3.8,6.2,2.6875,3.36
kopi,"(noun) Coffee; commonly used in the context of drinking coffee, especially in local coffee shops. Origin: English; Malay; Colloquial Tamil.",7.01123595505618,4.89024390243902,4.68253968253968,2.04838709677419
kopitiam,"(noun) A traditional coffee shop or food centre in Singapore, where coffee, local dishes, and snacks are served. Origin: Malay; Hokkien.",7.08888888888889,4.34146341463415,4.52380952380952,1.7741935483871
koyah,"(adjective) Used to describe an object that is torn, damaged, or spoiled. Origin: Malay.",4.26470588235294,5.57142857142857,3.15,2.90909090909091
ku ku jiao,(noun) A crude term used to refer to the male genitalia. Origin: Hokkien.,4.26436781609195,6.22368421052632,3.87096774193548,3.60655737704918
la sai,(verb) To create trouble or stir up problems. Origin: Hokkien; Teochew.,3.90322580645161,5.25641025641026,2.52173913043478,2.6
lagi,(adverb) To want more of something. Origin: Malay.,5.37179487179487,5.33333333333333,1.85714285714286,2.81481481481481
lah,"(particle) Used at the end of a sentence or phrase to add emphasis or express an exclamation; used to emphasise the mood or emotion conveyed by the speaker, impart a reassuring tone, or indicate skepticism or sarcasm. Origin: Cantonese.",6.1,4.32926829268293,1.52459016393443,2.38709677419355
lan jiao,(noun) A crude term referring to male genitalia. Origin: Hokkien; Teochew.,3.97727272727273,6.70512820512821,3.25806451612903,3.49180327868852
lao lan,"(adjective) Used to describe someone who is arrogant, egoistic, or pretentious. Origin: Hokkien; Teochew.",4.06060606060606,5.2,2.45,3.04761904761905
lao pei huet,"(verb) To have a nosebleed, typically used as a reaction upon seeing a pretty girl. Origin: Hokkien; Cantonese.",4.34782608695652,5,2.89473684210526,3.0625
lao sai,(verb) To get diarrhoea. Origin: Hokkien; Teochew.,3.87777777777778,6.24390243902439,4.25396825396825,3.51612903225806
leh,(particle) Tagged at the end of a sentence to add emphasis. Origin: Hokkien.,5.8314606741573,4.6125,1.57142857142857,2.56451612903226
leh chey,(adjective) Describes a troublesome or annoying situation. Origin: Malay.,4.32432432432432,5.21875,2.19642857142857,2.94339622641509
lepak,"(verb) To relax or hang out, usually in a casual or carefree manner. Origin: Malay.",7.29411764705882,3.50666666666667,3.56451612903226,3.08196721311475
liao,"(adverb) Means ""already"" or ""over"" often indicating the past tense. Origin: Hokkien.",5.98876404494382,4.32098765432099,1.6984126984127,2.44262295081967
liddat,(adjective/adverb) Used to describe something that is like or similar to something else. Origin: English.,5.64444444444444,4.33333333333333,1.88888888888889,3.12903225806452
liek boh kiew,(verb) Used when one is unable to comprehend what others are saying. Origin: Hokkien.,3.94117647058824,5.15384615384615,2.41666666666667,3.25
limbu,"(pronoun) An condescending or humorous way to say ""I"" or ""me"". Used by females. Origin: Hokkien.",4.63793103448276,5.38181818181818,3.46153846153846,3.17777777777778
limpeh,"(pronoun) A condescending or humorous way to say ""I"" or ""me"". Used by males. Origin: Hokkien.",4.83720930232558,5.8625,3.66101694915254,3.7258064516129
lobang,(noun) A term used to describe an opportunity or chance. Origin: Malay.,6.86516853932584,4.8,3.22950819672131,2.77049180327869
lombang,"(noun) Used to refer to hitching a ride or taking advantage of an opportunity, often in a casual context. Origin: Hokkien; Chinese.",6.04545454545455,5.125,3.35483870967742,2.64516129032258
long zhong,"(adverb) Used to indicate ""altogether"" or ""in total."" Origin: Hokkien.",5.63793103448276,5.59322033898305,2.75609756097561,2.89583333333333
lor,"(particle) Tagged at the end of a sentence to emphasize or indicate that something should be obvious or self-evident, or to express inevitability. Origin: Cantonese.",5.62921348314607,4.25925925925926,1.63934426229508,2.5
luan,(adjective) Used to describe something that is very messy or disorganized. Origin: Hokkien.,4.39130434782609,5.48275862068965,2.86,2.60869565217391
lun zun,(adjective) Used to describe someone who is careless or clumsy. Origin: Cantonese.,4.475,5.53333333333333,2.96428571428571,2.97222222222222
macam,(conjunction) Like; means to resemble or be like something. Origin: Malay.,5.77464788732394,4.97101449275362,2.03703703703704,3.10526315789474
mafan,(noun) Troublesome Origin: Mandarin.,4.11111111111111,5.69512195121951,2.58730158730159,2.69354838709677
mah,"(particle) Used to point out that a reason is obvious, self-evident, or must logically follow from a previous condition. Origin: Cantonese.",5.67816091954023,4.42105263157895,1.40983606557377,2.59677419354839
makan,(verb) To eat. Origin: Malay.,7.86666666666667,5.20731707317073,4.52380952380952,2.08064516129032
makcik,(noun) An auntie persona. Origin: Malay.,6.05194805194805,4.25,4.09259259259259,2.65
malu,(adjective) Embarrassing. Usually used when someone makes a fool of themselves. Origin: Malay.,3.88333333333333,5.3448275862069,2.85416666666667,3
mampat,(adjective) Tight or firm. Usually referring to a woman's posterior or clothing. Origin: Malay.,4.7,5.72222222222222,2.5,2.625
mang zang,(adjective) Irritable or easily annoyed. Origin: Cantonese.,4.07317073170732,5.64864864864865,2.29166666666667,2.64
masak-masak,"(noun) Play-cooking, an activity done by children where they pretend to cook using toy ingredients and utensils. Origin: Malay.",5.6304347826087,4.60975609756098,3.45454545454545,2.8
mata,(noun) A police officer. Origin: Malay.,4.51315789473684,5.28571428571429,4.08771929824561,2.60344827586207
mati,(verb/interjection/noun) 1. To die. 2. To be done for. 3. Death. Origin: Malay.,3.39189189189189,5.45714285714286,3.55357142857143,2.82352941176471
meh,(particle) Tagged at the end of a question to impart a surprised tone or express skepticism. Origin: Cantonese.,5.42222222222222,3.59259259259259,1.6031746031746,2.64516129032258
mong cha cha,"(verb) To behave in a ""blur"" manner, being unaware of what is going on around; absentminded. Origin: Cantonese.",4.55555555555556,4.91666666666667,2.32142857142857,3.37931034482759
mug,"(verb) To cram for academic tests; used interchangeably with ""study."" Origin: English.",4.66666666666667,5.32051282051282,3.63793103448276,3
